,text,sentiment
7411,life funny ironic time,neutral
7412,believe er,neutral
7413,patience worth,positive
7414,produce anchor sad goodbye miss lynne ashminov miss,negative
7415,get zion tweet,neutral
7416,sound good taylor kellie tour together pure genious,positive
7417,know fall right pm time like right middle day,neutral
7418,thank much follow keep date much possible makeup line plus new collections,positive
7419,haha whole worlds lol,neutral
7420,pack last day youth camp,neutral
7421,ready chill couch watch movie,neutral
7422,good morning world another wonderfull day start breakfst champion kid ofcourse,positive
7423,tummy hurt,negative
7424,see someone without smile pass,neutral
7425,big vanessa go september go fast hard cuz im workin much miss alot,negative
7426,chemistry fun,negative
7427,much oil change pass go collect lose,neutral
7428,mins till end follow friday,neutral
7429,omg almost last block quilt hours work leave wait meet goal,positive
7430,sad wish something big kid may god bless kid always,neutral
7431,dare go back look vid make may take,neutral
7432,r u feel r u guy come back canad come vancouver,neutral
7433,class tomorrow tomorrow saturday hate class saturday,negative
7434,hate hair long think want super looong hair,negative
7435,zen relate stuff go flow easy accomplish start rain rain flush away,positive
7436,hat everything seafood happen serve lobster chow hall noooowww gotta headache ugh smh,negative
7437,yes see mitch hedberg whole floss thing hilarious poor guy,neutral
7438,nigel really enjoy get big scratch side inexplicably appear afterwards,positive
7439,iphone,neutral
7440,kid sick tho go like crazy stalker,negative
7441,need wardrobe intervention,neutral
7442,get home art day want film,neutral
7443,car home yay boo pay mom installments give today need win lottery,neutral
7444,enjoy night folks,positive
7445,nooooo go rain birthday,negative
7446,try way deena,neutral
7447,feel really dizzy soo good,negative
7448,happy friday dance rain outta till morrow sit saturday morning shift still good,positive
7449,good morning want breakfast,positive
7450,love sun today love black suit black top plus train tube get meet back need shop summer,positive
7451,make sure u pick chrisette michele new album epiphany store tomorrow may th love promise congrats,positive
7452,homework sux big time maths worst,negative
7453,mark harmon get shoot tv,neutral
7454,cool could help make happen make sure happen least houston great k thank,positive
7455,want starbucks,neutral
7456,pretty lady happy mother day mother future son laws,positive
7457,pray get better soon sweet one sorry still well,positive
7458,love pb banana sandwich still fav mine,positive
7459,saw fiddler topol girls looooved next month annie th row wait trip music store fiddler sheet music,positive
7460,oh please mark toe tweet toe try make trening topic toe,neutral
7461,stand ovation wieters nobody sit insane hit double play though,positive
7462,haha forget probably youtube watch later,neutral
7463,aaah k like fan incarnate kinda like mutant till date ghalib never yet leave question unanswered,neutral
7464,average per hour work today gotta love holiday,positive
7465,oh,neutral
7466,congratss,positive
7467,look good outside continue feel movie night come,negative
7468,know joke good fun people get humor,positive
7469,think tonight plan gonna happen sigh sadface surprise,negative
7470,love life lately look forward go see samantha hang natalie right,positive
7471,want go catch happy hour get strawberry lemonade slush put dont car super,neutral
7472,chill boys go time relax,positive
7473,haha come home long night saw tweetie khayyam wakil usually announce lol,neutral
7474,create new album facebook phantom cross stitch want track progress feel like get something,neutral
7475,start day find lump body go hospital apparently nothing fewfffff bloodtests suck haha,neutral
7476,dress house sunday see fishy fishys,neutral
7477,paint nail metallic blue really sure look pretty weird color think cool,neutral
7478,oh ok thank dont know courthouse id either learn though nkotb twitter steal pic hat,negative
7479,alone still watch tww eat italian chocolate solve logic puzzle,neutral
7480,wish wrap head around hopefully wake people say think racism exist anymore,positive
7481,awwwh sorry hope fell better watch film,neutral
7482,bummer yo start finals soon guess see around second week june,negative
7483,finally home tp tetep kurang bt buat shoot kamis nih huaaaa stress gila syapa lg ya,neutral
7484,two fantastic show row,positive
7485,mooorning friday terrific smile,positive
7486,work suppose day much work get plm world sigh,negative
7487,miss cat sunday mornings mine,negative
7488,serious technical issue studio oh well thank god technician,neutral
7489,stay til almost read rule good book totally worth sleep deprivation,positive
7490,get sumthin special want akankah suatu hari ku kan mendapatkannya god know,neutral
7491,oh would rivet tv trip break room coffee toothpicks eye keep open,positive
7492,finally get teach load confusion clear teach third year section catch,positive
7493,love find regional group twitterers glad could connect new people,positive
7494,finish curl hair finish get ready ribbon put hair,neutral
7495,luck either nut hop see,negative
7496,wake aspirate stomach acid pray dont acid reflux one time thing,negative
7497,face stupid thank miss ha,neutral
7498,try sweet lil ipod totally nerding totally ok,neutral
7499,kill,negative
7500,warren hannah dead oh godd seriousslyyy tragidy,negative
7501,man sweep worry,positive
7502,tastic awww sweet,positive
7503,shower take room right bed yeasterday shower balcony sea wiew bite nicer,positive
7504,ive burn like ginger kid sun arm red,negative
7505,soooo ppl tell go tonite show ive dream meet embarrassd lil lol,negative
7506,think moment yeah guess http www phoenixfm com listen php,neutral
7507,sadly sit home could go partyyyyy,negative
7508,want go know feel ready head back mountains win go back till july,neutral
7509,link work,negative
7510,sober brittney becky brit,negative
7511,absolutely boil get factor must turn orange must look like oompa lumpa leave shoulder burn yesterday,negative
7512,hiii miss bore u,negative
7513,hahaha yes discussions always seem jump around randomly,neutral
7514,http twitpic com bpd store airport close get wdw trip,neutral
7515,nite n bore oppose almost sleep frm b,negative
7516,x ah annoy,negative
7517,reunite feel good,positive
7518,watch kunguma poovum konjuma puravum like much excellent cinematography,positive
7519,star trek great yet minor detail need work give thumb regardless,positive
7520,go right wish could alter time,negative
7521,sadly bite disappoint try later see change mind,negative
7522,doente,neutral
7523,new blog post blog auto insuran find auto insurance policy expire careless meanw,negative
7524,tummy hurt go away cramp hate chuu,negative
7525,wish could offer hug right bad,negative
7526,hey welcome va lol muggy dc worst part summer say,neutral
7527,ayy okayyy nice see kanina like hair,positive
7528,wfd lasagna still minutes go hungry,neutral
7529,ohh kayy fasho u go tonight fun,positive
7530,play club impact tomorrow finally get shirt woopity doo want slurpeeee sooo bad right,negative
7531,whoa mean sleep hour,neutral
7532,sleep mr night peep,neutral
7533,go suffolk tomorrow however mb plan picnic mall friends neil jodi,neutral
7534,hour leave revision,neutral
7535,sit home wish didnt work today ask still work,neutral
7536,worry spell correctly look wrong,neutral
7537,botanical garden beautiful forget extra memory card picture today,positive
7538,yeah better ads make look part content rather blatant advert,positive
7539,borat less http bite ly izkab,neutral
7540,go piggy bank man hell lot money easily live next weeks,positive
7541,singapore warm blast already,positive
7542,great service find time lag time post appearance twitter small downer,neutral
7543,hope feel better soon little magic girl,positive
7544,get back home first exam long time finish,neutral
7545,back wingman great weekend,positive
7546,round round garden amaze thing still talk http tinyurl com dx,positive
7547,head home yay go buy much need bottle wine drink dinner wallet mia wine tonight,neutral
7548,man look pack book look past live feel kind sentimental,positive
7549,yeah gonna rubbish,negative
7550,suck majorly swamp twitter know still golf tournament,negative
7551,sleep rite havin much tea nite fail test lpi course next week make better,neutral
7552,good morning everyone time work,neutral
7553,nice wish twitter would tile mine,positive
7554,ohh haha ok thank,neutral
7555,song come goodbye stick head good song sing consider situation,negative
7556,yay save weve overcome god,positive
7557,np mate great meet prague,positive
7558,watch run fat boy run haha soo funny,positive
7559,know write exam essay weekend,neutral
7560,need lele answer meeee haha,positive
7561,implement paginate website love rail,positive
7562,boat din bone peru double,neutral
7563,mmmmmm late night brusters ice cream om nom nom nom,positive
7564,rofl love trina,positive
7565,tidy hoover whole flat b today head german bakery breakfast follow walk park,neutral
7566,favourite favourite omgaah sorry creepering really lol,neutral
7567,gremlin asleep particularly challenge bedtime think safe go bed crazy sit night,neutral
7568,congratulations shirt btw,positive
7569,ironically think go head pun intend every headache hope go away soon,neutral
7570,suck thunder get ready shut,negative
7571,saw xmen origins sit far best xmen movie amaze,positive
7572,bgt dcd seniors good good enough,neutral
7573,hmph order bootleg pharos gps phone dont bb want office depot,neutral
7574,gott home work relax,positive
7575,baby help math,positive
7576,happy friday pull yummy radishes garden hope strawberries turn still bloom,neutral
7577,happy momies day,positive
7578,morning everybody,neutral
7579,picture ross,neutral
7580,nice recolouring page nobody buy anti twitter word love,positive
7581,phone whatchu tonight sucka dane cook sell ticket lamee,negative
7582,almost get sharpied face fall asleep sick suck,negative
7583,allergic oh,negative
7584,send call back message x,neutral
7585,bore,negative
7586,haha love surprise work til sunday tho wait,positive
7587,win town email another one though,neutral
7588,soooo full im start feel sick,negative
7589,stick traffic jam somewhat start situation every day sad really,negative
7590,vote u mtv movie award vote button cause live sweden wanna vote u u rock xo,neutral
7591,happy may bank holiday british peep,positive
7592,go derny race sofie cindy see eric,neutral
7593,causee everyone pass challenge test duh,neutral
7594,think get sick,negative
7595,trip zoo today,neutral
7596,wish happy fabulous mother day,positive
7597,noooo miss much go stag prom high school middle school dance help,negative
7598,love half day rain soccer practice tonightt,positive
7599,ah see either way get experience fantasy sound shock wave vacuum space heh,neutral
7600,know would yes cant wait bb love hear theyre show hr live stream year though,positive
7601,flip hairloss gotta go doc,negative
7602,great night,positive
7603,kitteh like go front behind side box,neutral
7604,oh god bless,positive
7605,checkin oramarecords com get fever cnt sleep,negative
7606,finally eat unagi save udon agh realize band play bear garden today one like,positive
7607,wake morning way,neutral
7608,feel good,negative
7609,noooooooooo parrents find stash,negative
7610,hehe thank advice choose shoe three hard,positive
7611,agree take little find way stocktwits cant imagine work w,neutral
7612,pool fun without tim,negative
7613,glorious weather poor,neutral
7614,really disappoint whole promiscuous girl thing congrats success think waste talent,neutral
7615,still work whaaaaaaaahhhh,neutral
7616,schoool time much week days school time nyc wait last day school,positive
7617,cut slice cheese cake make everything better,positive
7618,today go slower time drag,negative
7619,finally get lil monster hand could run errands gotta rain,neutral
7620,hey sorry late leave min raincheck tomorrow,negative
7621,hi miss isabelle,neutral
7622,head home long week wish someone onther marketers would follow,positive
7623,actually play keyboards pohaku lol play st bday earlier spin shack,neutral
7624,hi th fallower,neutral
7625,psst new blog comment likey,positive
7626,u feel urself much u cant say hi likey u,negative
7627,wow join photography scene pretty recently large format make even interest,positive
7628,go go london week change ticket would right,neutral
7629,twitwoo tweet phone,neutral
7630,steph boo miss age get internet back try fix alo haha like act time time,neutral
7631,sad shin ae get marry alex,negative
7632,never get followfridays,neutral
7633,ha fun think rewatch part season today preparation morrow night,positive
7634,mom ok far miss jaron,negative
7635,almost say bless sneeze cat,positive
7636,http bite ly heu judge tuck tonight mogwai repeat,neutral
7637,wine beer champagne let see go tomorrow lol,neutral
7638,yeah think touch something mikes germs sore throat dammit know go,negative
7639,goodmorning,positive
7640,brother irritate bc take wear clothe without ask want punch violently,negative
7641,arthritis really poor would painful old many squat u,negative
7642,want go back charleston,neutral
7643,course,neutral
7644,luciano jailbreak go great tremendous amount apps ready though winterboard yet,positive
7645,want like horatio caine,neutral
7646,right second gig sippinn guess whut water sta focus job,positive
7647,good end busy day bed full belly sushi,positive
7648,go act school yayay,positive
7649,get prerecord phone call jj ask vote admk lead front phone number hyderabad connections,neutral
7650,happy mother day later wait see day concert lol well ima see day like,positive
7651,watch uninvited room wait go home go deid first,neutral
7652,turn loooong day get new us edition esquire go fantasize could one day look like megan fox,neutral
7653,also want th miss girlies much get roomies,negative
7654,upload new videos youuuchuuub,neutral
7655,need read fic lose,neutral
7656,love tooooo duuude need make shirt say something cool say,positive
7657,break vase even get chance use,negative
7658,yeah go tomorrow morning get pick early sunday see reason go whole weekend,neutral
7659,saw thirst korean movie make chan wook park movie hard good,neutral
7660,go find unity girl bebo cant find fail bebo stalk,negative
7661,get better omg still dont believe tgot picture soo sad gonna see u,negative
7662,omg soooo sad,negative
7663,dream hang friends good wake,neutral
7664,good luck c funn,positive
7665,get attack club,negative
7666,haha live long prosper movie better think awesome job please,positive
7667,look forward tonight dinner date mom gymming afternoon start bawas kanin less rice movement celibate,neutral
7668,feel like im go cough lung,negative
7669,like jam bond series thats spy movie,positive
7670,nice,positive
7671,get back rachael house,neutral
7672,week wasnt without adam lambert performance,neutral
7673,sleep katy perry songs soundtrack x,neutral
7674,alright joke say wine fool maybe like drink,negative
7675,two page assignments weekend go chance relaxation,negative
7676,new issue office desperately want flick much wait,negative
7677,shock feel sick happy,neutral
7678,cup cake sooo yummy would coffee chaser u know lead,positive
7679,wait see pics,neutral
7680,good morning fabulous morning,positive
7681,sympathise,negative
7682,thank much ff one today,positive
7683,know would love see lie editors believe writers justsayin,positive
7684,haha love aimeeeeeee,positive
7685,arent u famous already lol adore fan fan would anything hehehe im fan,positive
7686,parent decide drop tour de us whole family house work,negative
7687,still class loaders even custom assembly loaders,negative
7688,work starve,negative
7689,omg little kid cancer saddest thing ever,negative
7690,weather report week upper make happy perfect run weather,positive
7691,guess twitter,neutral
7692,pray rosary family,neutral
7693,vacation look forward next one,positive
7694,assignment due midnight professional write class really wish already luv write think id like,positive
7695,soon go look cabaret go fun,positive
7696,wish everyone bless beautiful mother day,positive
7697,break christian bale play batman,negative
7698,steam punlk fashion show anime north first year since torcon back til miss,negative
7699,snapppp look find twitter lollll,neutral
7700,mak request bbm send ur contact info everything sync old phn ur tmail info haha date,neutral
7701,let play russian roulette,neutral
7702,thank fabric addict lately buy soooo much,positive
7703,dang want beach late night best sound wave breeze hope well,positive
7704,matt weiters first bat fly rf,neutral
7705,good mood mama away sis talk either boy see weekend plan,negative
7706,thank review today feel like idk anything anyways r u,positive
7707,ha thats good thats love boys cos never stir hatred mighty red scum everyone love city,positive
7708,shecky happy moms day u well many come,positive
7709,omg tony hawk motion nintendo ds suck,negative
7710,http twitpic com j z know lold,neutral
7711,mean ask night go enjoy fight yas nighter,positive
7712,hey facebook come check http bite ly jiy tell ur username add,neutral
7713,pen steigy politics hun obamas watch hockey,neutral
7714,clue twitter,neutral
7715,feel really weird,negative
7716,stop cough,negative
7717,well happy mother day ahahahahahaha,positive
7718,sorry dunners saw tweet totally let im sorry babe work till boooooo,negative
7719,doesnt feel good cant miss work tomorrow,negative
7720,felt nice stay outside long definitely get burn hurricane season though,negative
7721,oooh ok think lose mizmind,neutral
7722,happy star war day may th,positive
7723,headache kill yet need cover bore police event,negative
7724,send u direct message mail,neutral
7725,melissa celebrities,neutral
7726,sweet try earn crown gluten free bake,positive
7727,desktop quad core win boot time laptop dual core w ssd win boot time ssd desktop arrive days,neutral
7728,sure chat sec thread http tinyurl com ojcf l,neutral
7729,towel sub etha sens matic guide,neutral
7730,ugh much happen today really need hug,negative
7731,nothing much man wait insurance card come cant get workdone w redtape,neutral
7732,sux gabe tell go afterparty id work go,neutral
7733,http twitpic com rw miss puppy,negative
7734,sorry ali,negative
7735,need see band live blink come uk year anyone wanna go see billy bragg colin blunstone,neutral
7736,wrap html java work spend night dabble flash intros,neutral
7737,try direct message twitter,neutral
7738,go get car inspection sticker get gigantic red r one keep pile take worry ok,positive
7739,last sunday go home,neutral
7740,hurt much even chew gum lose much weight even eat,negative
7741,yes would pretty creepy think bite innocent think want sell icecream,neutral
7742,true get worse burn today forget sunscreen,negative
7743,happy mother day ur mom jah tc,positive
7744,oh wait read wrong ok hellboy,neutral
7745,hi nice meet,positive
7746,still duff boo,neutral
7747,postpone abandon,neutral
7748,look model beauty shoot thursday valley studio contact interest,neutral
7749,ok get nail day sweet,positive
7750,moral support students,positive
7751,teeth check eye die coffee drink hour,negative
7752,ally come,neutral
7753,could get work pay r per l,neutral
7754,always miss,negative
7755,great song http bite ly evluw,positive
7756,funny sit external keyboard mouse macbook bed look strange comfortable,positive
7757,im home alone house imma scar x,negative
7758,hey kellie u feel horrible,negative
7759,congratulation phil packer complete london marathon x shin example us x,positive
7760,happy mother day,positive
7761,go ride perfect night go chill,positive
7762,yeah good startle,positive
7763,hey twitter hows go let us know day go,neutral
7764,ten minutes shop demi lovato back around demi lovato behind enemy line see titanic trailer really good,positive
7765,sooo u gon cheat tell everybody twitter know trust anymore j k,negative
7766,miss brandon want talk anthony sadshoes,negative
7767,great day,positive
7768,oh matey get ill would bite mean suzi call chicken scab,negative
7769,exhaust hour work week,negative
7770,omg amaze twist crazy awesome movie,positive
7771,look forward yummy dinner mizz kate jones even,positive
7772,say gots mom digital picture frame bout scan pics wed n mushy stuff http plurk com p su eq,neutral
7773,beer excellent excuse earlier sweat god know much look forward work tomorrow,negative
7774,good heart say doctor except doctor win tuesday afternoon put write,neutral
7775,ernman hej malena lycka till eurovision unite kingdom vote,neutral
7776,look differents stuff mine today,neutral
7777,aha yeah else fail push yeah dont know time leave yet though,negative
7778,mmm comfort junk food sound good always prefer wingstop,positive
7779,tat look beautiful heck mama business woman dana,neutral
7780,believe puppy like brussels sprout,positive
7781,jennnnnn richhhh wast ed,neutral
7782,already get ticket concert philippines im excite,positive
7783,awwww thank unfortunately everything close pm sweden friday presentation monday,neutral
7784,think prize end sorry hear though,negative
7785,day hours work really like job fabulous b,positive
7786,aaggh blackberry curve take gash screen day get invisible shield stock well good advertisement,neutral
7787,fill good two appointments go,positive
7788,yo moms day today big mom dukes behave,positive
7789,fair ask mktg cd etc suggest never even email back,negative
7790,poor kitties nothing hopefully least able find good home,positive
7791,rain md,neutral
7792,true admit pret ty funny im bout go tube lol,positive
7793,oh yes quite nice photoshop liep zojuist vast start paint r ngs glove,positive
7794,lottie one favourite pastimes weekend long weekend monday ice show w g daughter,positive
7795,miss baby,negative
7796,ten hours ago sleep sorry,negative
7797,sleep soo good wake like mins ago n get sick feel great wanna go back sleep wide awake,negative
7798,knack iphone get melt chocolate speaker hear ring,neutral
7799,last day work tend,neutral
7800,still wait beer moldovan least happy come,positive
7801,could never one children look happen nina zavaroni sp brooke shield draw barrymore,neutral
7802,yep ah wanna leave warm doona get hot beverage guess make w,negative
7803,good start day leave money home hot day look free carparks,negative
7804,spongebob sing long amandas mom give crystal jonas brothers calendar,neutral
7805,great wonderful first day,positive
7806,friday whole different mean work saturday sunday,neutral
7807,friends mine meet today wait turn,positive
7808,math amaze hell time socialily naiv part fine,neutral
7809,seem access restuarant city due internet javascript problem,negative
7810,finally get twitter let hope make good use site,positive
7811,hahaha even notice name lice,positive
7812,wake day need go work suck also go dentist fill st helens mri scan,negative
7813,twitterberry wont work friends,neutral
7814,slowly get ready work,neutral
7815,episode season love chuck bass go short stack film next sit im make flag,positive
7816,awww lovies yes love totally finish buffalo sammich hit new bongie,positive
7817,hey girl yeah thank bunch start download yet totally owe,positive
7818,happy mother day mommy love best,positive
7819,fish feel pain yes say new study http gd jbcg,neutral
7820,nothing friday night,neutral
7821,finish st new song soon youtube keep update,neutral
7822,experiement,neutral
7823,plead temporary insanity agree metric century cycle event tomorrow,negative
7824,watch ryann gonna grand day,positive
7825,bed finger toe everything cross u pick lol hope ur well get back safe poor jon,neutral
7826,missin bro,negative
7827,w glad hear though miss watch outside igloo day,positive
7828,make sad,negative
7829,thank kelly mean lot figure apt thing yet,positive
7830,mouth hurt stupid retainer,negative
7831,sorry bad drive experience,negative
7832,research find specific thing wanna drive autorun,negative
7833,edward cullen hahaha,neutral
7834,yeah love one really matter,neutral
7835,one welcome new cyber criminal overlords,positive
7836,invite send invite collabs pass word around,neutral
7837,eh might drive chi town way colorado maybe get one,neutral
7838,new tubas th july weekend,neutral
7839,realize last night idea pns go move hope lose go forever,neutral
7840,lluuvv u ahhh im gonna miss u evenn moreee lol,neutral
7841,coolin ya know,neutral
7842,still gutted man utd lose,negative
7843,alicias tonight idkkkk ughhh,negative
7844,happy mother day beautiful moms kind mom think little pup count,positive
7845,thank hope great rest day afternoon coffee yet,positive
7846,yay happy mother day fb,positive
7847,remember cause watch many youtube lol get back,neutral
7848,indeed plenty joke lie bed hop go free jury service tomorrow,positive
7849,nappy da new n word da way ilove nappy braid igot hang time homie lol,positive
7850,thank much glad like,positive
7851,maybe wednesday,neutral
7852,morning ask early,neutral
7853,weird really want harry potter bed spread pillow wish could find one gryffindor,negative
7854,nh n c bonus r ch c ch b v kho n unpaid leave,neutral
7855,least get closer normal bedtime enjoy trip keep us update sweet dream,positive
7856,longman yes follow,negative
7857,check q right,neutral
7858,holy kraut cannot stay late book author box tuck kitty boys nighty night,negative
7859,ok true plus insult say insult try cheer nada,negative
7860,hey web url look good,positive
7861,hop pills something cuz gonna go nut,positive
7862,mobile like,negative
7863,piss http myloc cu,negative
7864,saw week diet sugar rice wheat potatoes much protein want sugar,neutral
7865,fun wish mums happy mother day us,positive
7866,yes party show next week,neutral
7867,havent awhile point anyways,negative
7868,get home hospital another clot leg,negative
7869,die hangout friday afternoon,positive
7870,hi nice meet new twitter guess,positive
7871,us far know hee hee think years first,neutral
7872,may st success lucas first police contact neighborhood cruise egg cream bumf shave foam love son hero,positive
7873,ouch burn make soup nico,negative
7874,hungry eat anything right tongue hurt bad,negative
7875,play munchkin today talk cake get ready yard sale tomorrow look forward,negative
7876,tweeten tix deal nkotb http tinyurl com nkotbtweetentixsdeal seat price nkotb date,neutral
7877,rip leonardo great mini fiddler crab,positive
7878,yes get lovey return love thing lead another also want know ur mad,neutral
7879,hahaha secret door real batcave,neutral
7880,freeze rain,neutral
7881,bad understand things know,negative
7882,please come minneapolis st paul area look schedule see anything close anytime soon,neutral
7883,think annoy keep get twitter error message mobile,negative
7884,drive teeny tiny honda civic http myloc fry,neutral
7885,listen jello biafra work,neutral
7886,work work work,neutral
7887,best sunday,positive
7888,tire,negative
7889,free ice cream though,negative
7890,well ask days ago say money thing hold back saturday something,neutral
7891,im tire gloomy happeened ro summer,negative
7892,let hope pray go wiser way let hope pray go wiser way http bite ly tzxqn,positive
7893,ive finish th year argh uni go soooooo quick,neutral
7894,give question think u may right one host provide hd quality viewers maybe,positive
7895,lol cute btw happy mother day lady,positive
7896,want grape juice,neutral
7897,sooo cloooseee,neutral
7898,great find http amanita design net samorost,negative
7899,bad word crutch lead tattoo peircings hahahaha,neutral
7900,jazzy vegas w team,neutral
7901,damnit sorry hear dude,negative
7902,ha ha thank,positive
7903,back hospital doc say live,positive
7904,look new sms send solution http promotion itagg com get free sms every itagg,neutral
7905,wish garden could bbq tonight might set lounge bbq type thing work fridayfirehazzard,positive
7906,eat sleep draw part neuroanatomy take home test part neuro http bite ly fxs l,neutral
7907,head morning,neutral
7908,beat heat tea try masala chaas,neutral
7909,officially miss quark huhuhu heart hand partner one dance tonight come home http plurk com p x k z,negative
7910,uk argh twitter didnt post reply tweet age aint much enjoy sun,positive
7911,oh man suck hardcore haha good luck finish record,neutral
7912,god bless u hope rest weekend joyfull,positive
7913,quaterfinals charity football tournament penalty save send us,positive
7914,w interview much private chat,neutral
7915,btw ear get better time finally say goodnight twitter world even though already asleep xoxo,positive
7916,th update,neutral
7917,rofl okay dont know kristin still isnt,neutral
7918,work miss shannon could barely contain amazingly good time,neutral
7919,th tweet go w one talk morning lol,neutral
7920,play around fun little kid right hahahahaha,positive
7921,welcome,positive
7922,would love talk live england unfair,neutral
7923,im fine bite tire im glad weekend,positive
7924,well look bruv exam timetable french oral exam feel fortunate erm digest morning revision,positive
7925,way take photos park,neutral
7926,amtarot thank much,positive
7927,mess look next week,negative
7928,love gossip girl episode wrath con,positive
7929,believe man die car wreck today right road happen still car,negative
7930,imissu come back home honey,negative
7931,sure thing,neutral
7932,still sad samantha,negative
7933,omg much pain ouchies,negative
7934,pick daughters appear pick unhealthy like primark feel like bad parent,negative
7935,hours teleconference go back sleep get work sigh sigh,negative
7936,movie weekend watch movies far,neutral
7937,come end first shift local,neutral
7938,maybe jd help know though ask,neutral
7939,actually suppose w dad cousin cousin trouble though never get together,negative
7940,bbq today,neutral
7941,oh okay every often get random taste blood mouth make go eww blood haha,neutral
7942,thank find amuse rubiks picture tonight make even via,positive
7943,omg today felt like last day school horrible,negative
7944,sicken shoot smh prayers family,negative
7945,fire hii,neutral
7946,yeah make great noise trip house circuit breaker good time worth part,negative
7947,yeah back work get bad,positive
7948,want buy amber bensons death daughter today,neutral
7949,lol make anything yet spread supply din room table,neutral
7950,think find purse soulmate budget,neutral
7951,happy bank holiday,positive
7952,livin ur iznt nice miss mum,neutral
7953,today mother birthday happy birthday love angel help much time life,positive
7954,await watch lfctv liverpool vs newcastle game yesterday,positive
7955,lol army starfleet rule mean break get job get medal,negative
7956,wow thats quite trip,neutral
7957,last school day tomorrow funnest day ever also really sad righ ow get ready go moab phil,neutral
7958,wish go st girls tomorrow,positive
7959,find go us august get tire transatlantic flight good carbon footprint either,negative
7960,hey link work,negative
7961,oh pw wrong sign time ur children article wrong neil gaiman tease bea,negative
7962,know recommend,positive
7963,sad statue liberty completely reopen weeks nyc trip,negative
7964,awww wonder ima get marry shawna damon cute,positive
7965,fourteen hours later still worst allergy flare life shoot engagement session field last night,negative
7966,dm follow,neutral
7967,nothing yet still look let sure lunch next week,positive
7968,thing parent best friend,neutral
7969,saw fraktastic zoidberg paint tweet around last week,neutral
7970,thank download trial version stuffit work good advice,positive
7971,note self never ever leave macbook pro stupid icurve fell,negative
7972,sorry,negative
7973,oouchhhh pinch accident try fix top,negative
7974,keep try get right last time,positive
7975,hey negative primatech handle tube decade longer heroes,negative
7976,finish dinner yummy,positive
7977,feel deflate hubby saw swing set think piece junk think find something good kid,neutral
7978,please dont change anything site love always love even please pretty please,positive
7979,blast ing past nts must suck badly school,negative
7980,get ready school absolute wonderful day,positive
7981,pffffffffff triumph cuz u go nap lmao,negative
7982,produce direct film edit write coordinate events manage fetti much,neutral
7983,ever come across something remind alot one person completely break heart cause,negative
7984,get watch bedtime stories love movie,positive
7985,oh noooooo sorry suck hard,negative
7986,listen commentary track holiday inn never think see bing crosby black face rest movie cute,positive
7987,worry friend,negative
7988,mimi time,neutral
7989,send blog rss feed site republish send traffic site,neutral
7990,dad tell music power heal soul sure true,positive
7991,yes act really cringe worthy though find entertain,neutral
7992,drive work run late like always time starbucks,neutral
7993,agree,neutral
7994,rain one reason stay snuggle beneath duvet,neutral
7995,find schoolmate die heart attack morning barely miss u bally,negative
7996,add butt name phone make go home cold love,positive
7997,school work,neutral
7998,sorry type wrongly usually type something wont read press enter button,negative
7999,fender hide couch know get ready leave happy,negative
8000,shawn go back home want see ya b u leave homie,neutral
8001,seriously parent non stop minniapolis newport week weekend san diego miss,negative
8002,awww glad know little sweet leigh good thank update howie,positive
8003,sims know inside scoop station anything kwod nothing us,neutral
8004,right argue nothing think healthy conversation,negative
8005,miss everyone tonight,negative
8006,yeah get admire someone take job satisfaction nth degree,positive
8007,sigh stay late cause role w assessment tire eye r sting head hurt still need word,negative
8008,whacker skypeeeeee,neutral
8009,work hillcats game cent hot dog haha,negative
8010,still plenty food leave thank come wait see picture come,positive
8011,like idea go cinema monday,neutral
8012,like dress,negative
8013,im happy,negative
8014,gonna go shower goin see hannah montana laterz woo well excite,positive
8015,thee ladies get retard,negative
8016,wow must tire fell asleep exactly start pm news,negative
8017,anime store iat rivercenter go crazy pokemon stuff wish money,neutral
8018,take nap work sleep right nap felt soooo good seem like bad idea,neutral
8019,happy mothrs day thaa moms outt thr,positive
8020,jayy might hav cost u history essay,neutral
8021,yay temperature go dinner family tonight,neutral
8022,great night friends,positive
8023,legs soft watch move mommm short day workk,positive
8024,happy mother day mums twitter,positive
8025,well poop guitar lesson cancel today sad hope son feel better soon tho,neutral
8026,miss friends much,negative
8027,change picture soo screw assignment due tomorrow havent start cant concentrate argh,negative
8028,unofficially course provide info could want geelong football club,neutral
8029,look miss couple hours sorry let know next time,negative
8030,days yesterday probably today wish take top jeep need help haha fricken hot,neutral
8031,school today gd dont get see mat n millsy x,neutral
8032,headbutt anyone know anyway ok today football today,neutral
8033,relax like translate swedish get take look next comment,positive
8034,get back gym wanna chat new people let talk haha,neutral
8035,want go shop tomorrow work buy things know want,neutral
8036,like last part methodology,positive
8037,back mountains,neutral
8038,last time pankraz get name,neutral
8039,hahaha yay emily cool,positive
8040,days boyzone,neutral
8041,p think gonna follow back twit har,neutral
8042,envy everyone aots,positive
8043,hayward go two way mirror,neutral
8044,mandy win let vote want win help gonna jump bridge kid sux,neutral
8045,study colette,neutral
8046,want wish moms moms happy mother day,positive
8047,ok lol think might date,positive
8048,smile guy turn speakers smile life good http www imtiredonline com smile,positive
8049,want move qld already cold weather kill,negative
8050,mcsupergirl ok finish set u free sooooo mad rite cant end like dont want bad guy,negative
8051,ok brother change num give smh good dude,negative
8052,claire sunny send,neutral
8053,think need drink,neutral
